file_path,person_id,person_name,pose_angle
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-1).jpg,1,Aisha,-1
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-10).jpg,1,Aisha,-10
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-11).jpg,1,Aisha,-11
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-12).jpg,1,Aisha,-12
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-13).jpg,1,Aisha,-13
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-14).jpg,1,Aisha,-14
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-15).jpg,1,Aisha,-15
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-16).jpg,1,Aisha,-16
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-17).jpg,1,Aisha,-17
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-18).jpg,1,Aisha,-18
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-19).jpg,1,Aisha,-19
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-2).jpg,1,Aisha,-2
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-20).jpg,1,Aisha,-20
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-21).jpg,1,Aisha,-21
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-22).jpg,1,Aisha,-22
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-23).jpg,1,Aisha,-23
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-24).jpg,1,Aisha,-24
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-25).jpg,1,Aisha,-25
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-26).jpg,1,Aisha,-26
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-27).jpg,1,Aisha,-27
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-28).jpg,1,Aisha,-28
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-29).jpg,1,Aisha,-29
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-3).jpg,1,Aisha,-3
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-30).jpg,1,Aisha,-30
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-31).jpg,1,Aisha,-31
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-32).jpg,1,Aisha,-32
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-33).jpg,1,Aisha,-33
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-34).jpg,1,Aisha,-34
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-35).jpg,1,Aisha,-35
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-36).jpg,1,Aisha,-36
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-37).jpg,1,Aisha,-37
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-38).jpg,1,Aisha,-38
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-39).jpg,1,Aisha,-39
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-4).jpg,1,Aisha,-4
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-40).jpg,1,Aisha,-40
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-41).jpg,1,Aisha,-41
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-42).jpg,1,Aisha,-42
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-43).jpg,1,Aisha,-43
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-44).jpg,1,Aisha,-44
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-45).jpg,1,Aisha,-45
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-46).jpg,1,Aisha,-46
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-47).jpg,1,Aisha,-47
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-48).jpg,1,Aisha,-48
C:\Users\Administrator\Documents\Sunny's ALU\Heimdall\FacePix\1(-49).jpg,1,Aisha,-49
